Automobile ID,Fuel ID,Fuel Configuration ID,Manufacturer ID,Weight Class ID,Category ID,Model,Model Year,City Range,Highway Range,City Fuel Economy,City Fuel Economy Units,Highway Fuel Economy,Highway Fuel Economy Units,City Gas Fuel Economy,Highway Gas Fuel Economy,Transmission Type,Engine Type,Engine Size,Engine Cylinder Count,Engine Description,Battery Type,Battery Voltage Amps,110v Charge Time,220v Charge Time,Warranty Info,Ordering Info,Description,Comments,Manufacturer,Manufacturer URL,Fuel Code,Fuel,Category,Fuel Configuration Name
11978,45,1,365,"",29,MDX AWD,2018,"","","","","","",26.0,27.0,Auto,SI,3.0L,6,3.0L V6,"","","","","","","","",Acura,http://www.acura.com/,HYBR,Hybrid Electric,SUV,Dedicated
11967,45,9,365,"",27,NSX Hybrid,2018,"","","","","","",21.0,22.0,Auto,SI,3.5L,6,3.5L V6,"","","","","","","","",Acura,http://www.acura.com/,HYBR,Hybrid Electric,Sedan/Wagon,Hybrid Electric
11903,45,9,365,"",27,RLX Hybrid,2018,"","","","","","",28.0,29.0,Auto,SI,3.5L,6,3.5L V6,"","","","","","","","",Acura,http://www.acura.com/,HYBR,Hybrid Electric,Sedan/Wagon,Hybrid Electric
11936,57,9,377,"",27,A3 e-tron,2018,"","",83.0,MPGe,"","",34.0,39.0,Auto,SI,1.4L,4,"1.4L I4
80 kW electric motor","","","","","","","","",Audi,http://progress.audiusa.com/,PHEV,Plug-in Hybrid Electric,Sedan/Wagon,Hybrid Electric
11937,57,9,211,"",27,330e,2018,"","",71.0,MPGe,"","",28.0,34.0,Auto,SI,2.0L,4,"2.0L I4
83 kW electric motor","","","","","","","","",BMW,www.bmwusa.com,PHEV,Plug-in Hybrid Electric,Sedan/Wagon,Hybrid Electric
11938,57,9,211,"",27,530e,2018,"","",72.0,MPGe,"","",28.0,34.0,Auto,SI,2.0L,4,"2.0L I4
83 kW electric motor","","","","","","","","",BMW,www.bmwusa.com,PHEV,Plug-in Hybrid Electric,Sedan/Wagon,Hybrid Electric
11939,57,9,211,"",27,530e xDrive,2018,"","",67.0,MPGe,"","",27.0,31.0,Auto,SI,2.0L,4,"2.0L I4
83 kW electric motor","","","","","","","","",BMW,www.bmwusa.com,PHEV,Plug-in Hybrid Electric,Sedan/Wagon,Hybrid Electric
11940,57,9,211,"",27,740e xDrive,2018,"","",64.0,MPGe,"","",25.0,29.0,Auto,SI,2.0L,4,"2.0L I4
83 kW electric motor","","","","","","","","",BMW,www.bmwusa.com,PHEV,Plug-in Hybrid Electric,Sedan/Wagon,Hybrid Electric
11975,41,1,211,"",27,I3 (94 Ah) ,2018,"","",129.0,MPGe,106.0,MPGe,"","",Auto,SI,125 kW,"","125 kW electric motor
94 Ah battery","","","","","","","","",BMW,www.bmwusa.com,ELEC,Electric,Sedan/Wagon,Dedicated
11969,57,9,211,"",27,I3 (94Ah) with Range Extender,2018,"","",109.0,MPGe,"","",36.0,33.0,Auto,SI,0.6L,"","0.6L I2
125 kW electric motor","","","","","","","","",BMW,www.bmwusa.com,PHEV,Plug-in Hybrid Electric,Sedan/Wagon,Hybrid Electric
11976,41,1,211,"",27,I3s (94 Ah) ,2018,"","",126.0,MPGe,99.0,MPGe,"","",Auto,SI,125 kW,"","125 kW electric motor
94 Ah battery","","","","","","","","",BMW,www.bmwusa.com,ELEC,Electric,Sedan/Wagon,Dedicated
11970,57,9,211,"",27,I3s (94Ah) with Range Extender,2018,"","",109.0,MPGe,"","",36.0,33.0,Auto,SI,0.6L,"","0.6L I2
125 kW electric motor","","","","","","","","",BMW,www.bmwusa.com,PHEV,Plug-in Hybrid Electric,Sedan/Wagon,Hybrid Electric
11941,57,9,211,"",29,X5 xDrive40e,2018,"","",56.0,MPGe,"","",23.0,25.0,Auto,SI,2.0L,4,"2.0L I4
83 kW electric motor","","","","","","","","",BMW,www.bmwusa.com,PHEV,Plug-in Hybrid Electric,SUV,Hybrid Electric
11904,45,9,235,"",27,LaCrosse Hybrid,2018,"","","","","","",25.0,35.0,Auto,SI,2.5L,4,2.5L I4,"","","","","","","","",Buick,http://www.buick.com,HYBR,Hybrid Electric,Sedan/Wagon,Hybrid Electric
11942,57,9,231,"",27,CT6 Plug-In,2018,"","",62.0,MPGe,"","",23.0,29.0,Auto,SI,2.0L,4,"2.0L I4
59 kW & 61 kW electric motor","","","","","","","","",Cadillac,http://www.cadillac.com,PHEV,Plug-in Hybrid Electric,Sedan/Wagon,Hybrid Electric
11841,41,1,215,"",27,Bolt EV,2018,"","",128.0,MPGe,110.0,MPGe,"","","",e-motor,150 kW electric motor,"","150 kW electric motor
171 Ah battery","","","","","","","","",Chevrolet,http://www.chevrolet.com,ELEC,Electric,Sedan/Wagon,Dedicated
11906,45,9,215,"",25,C15 Silverado 2WD,2018,"","","","","","",18.0,24.0,Auto,SI,5.3L,8,5.3L V8,"","","","","","","","",Chevrolet,http://www.chevrolet.com,HYBR,Hybrid Electric,Truck,Hybrid Electric
11826,35,1,215,"",25,Colorado 2WD,2018,"","","","","","",22.0,30.0,Auto,CI,2.8L,4,2.8L I4,"","","","","","","","",Chevrolet,http://www.chevrolet.com,BD,Biodiesel (B20),Truck,Dedicated
11827,35,1,215,"",25,Colorado 4WD,2018,"","","","","","",20.0,28.0,Auto,CI,2.8L,4,2.8L I4,"","","","","","","","",Chevrolet,http://www.chevrolet.com,BD,Biodiesel (B20),Truck,Dedicated
11828,35,1,215,"",25,Colorado ZR2 4WD,2018,"","","","","","",19.0,22.0,Auto,CI,2.8L,4,2.8L I4,"","","","","","","","",Chevrolet,http://www.chevrolet.com,BD,Biodiesel (B20),Truck,Dedicated
11829,35,1,215,"",27,Cruze,2018,"","","","","","",31.0,47.0,Auto,CI,1.6L,4,1.6L I4,"","","","","","","","",Chevrolet,http://www.chevrolet.com,BD,Biodiesel (B20),Sedan/Wagon,Dedicated
11830,35,1,215,"",27,Cruze,2018,"","","","","","",30.0,52.0,Manual,CI,1.6L,4,1.6L I4,"","","","","","","","",Chevrolet,http://www.chevrolet.com,BD,Biodiesel (B20),Sedan/Wagon,Dedicated
11832,35,1,215,"",27,Cruze Hatchback,2018,"","","","","","",29.0,48.0,Manual,CI,1.6L,4,1.6L I4,"","","","","","","","",Chevrolet,http://www.chevrolet.com,BD,Biodiesel (B20),Sedan/Wagon,Dedicated
11831,35,1,215,"",27,Cruze Hatchback,2018,"","","","","","",30.0,45.0,Auto,CI,1.6L,4,1.6L I4,"","","","","","","","",Chevrolet,http://www.chevrolet.com,BD,Biodiesel (B20),Sedan/Wagon,Dedicated
11834,35,1,215,"",29,Equinox AWD,2018,"","","","","","",28.0,38.0,Auto,CI,1.6L,4,1.6L I4,"","","","","","","","",Chevrolet,http://www.chevrolet.com,BD,Biodiesel (B20),SUV,Dedicated
11833,35,1,215,"",29,Equinox FWD,2018,"","","","","","",28.0,29.0,Auto,CI,1.6L,4,1.6L I4,"","","","","","","","",Chevrolet,http://www.chevrolet.com,BD,Biodiesel (B20),SUV,Dedicated
11856,11,5,215,"",27,Impala,2018,"","",14.0,MPGe,20.0,MPGe,18.0,28.0,Auto,SI,3.6L,6,3.6L V6,"","","","","","","","",Chevrolet,http://www.chevrolet.com,E85_GSLN,Ethanol (E85),Sedan/Wagon,Flexible Fuel
11907,45,9,215,"",25,K15 Silverado 4WD,2018,"","","","","","",16.0,21.0,Auto,SI,5.3L,8,5.3L V8,"","","","","","","","",Chevrolet,http://www.chevrolet.com,HYBR,Hybrid Electric,Truck,Hybrid Electric
11905,45,9,215,"",27,Malibu Hybrid,2018,"","","","","","",49.0,43.0,Auto,SI,1.8L,4,1.8L I4,"","","","","","","","",Chevrolet,http://www.chevrolet.com,HYBR,Hybrid Electric,Sedan/Wagon,Hybrid Electric
11857,11,5,215,"",25,Silverado C15 2WD,2018,"","",12.0,MPGe,17.0,MPGe,16.0,23.0,Auto,SI,5.3L,8,5.3L V8,"","","","","","","","",Chevrolet,http://www.chevrolet.com,E85_GSLN,Ethanol (E85),Truck,Flexible Fuel
11855,11,5,215,"",25,Silverado C15 2WD,2018,"","",12.0,MPGe,16.0,MPGe,18.0,24.0,Auto,SI,4.3L,6,4.3L V6,"","","","","","","","",Chevrolet,http://www.chevrolet.com,E85_GSLN,Ethanol (E85),Truck,Flexible Fuel
11858,11,5,215,"",25,Silverado K15 4WD,2018,"","",12.0,MPGe,15.0,MPGe,17.0,22.0,Auto,SI,4.3L,6,4.3L V6,"","","","","","","","",Chevrolet,http://www.chevrolet.com,E85_GSLN,Ethanol (E85),Truck,Flexible Fuel
11859,11,5,215,"",25,Silverado K15 4WD,2018,"","",11.0,MPGe,16.0,MPGe,16.0,22.0,Auto,SI,5.3L,8,5.3L V8,"","","","","","","","",Chevrolet,http://www.chevrolet.com,E85_GSLN,Ethanol (E85),Truck,Flexible Fuel
11860,11,5,215,"",29,Suburban C1500 2WD,2018,"","",12.0,MPGe,17.0,MPGe,16.0,23.0,Auto,SI,5.3L,8,5.3L V8,"","","","","","","","",Chevrolet,http://www.chevrolet.com,E85_GSLN,Ethanol (E85),SUV,Flexible Fuel
11861,11,5,215,"",29,Suburban K1500 4WD,2018,"","",11.0,MPGe,15.0,MPGe,15.0,22.0,Auto,SI,5.3L,8,5.3L V8,"","","","","","","","",Chevrolet,http://www.chevrolet.com,E85_GSLN,Ethanol (E85),SUV,Flexible Fuel
11862,11,5,215,"",29,Tahoe C1500 2WD,2018,"","",12.0,MPGe,17.0,MPGe,16.0,23.0,Auto,SI,5.3L,8,5.3L V8,"","","","","","","","",Chevrolet,http://www.chevrolet.com,E85_GSLN,Ethanol (E85),SUV,Flexible Fuel
11863,11,5,215,"",29,Tahoe K1500 4WD,2018,"","",11.0,MPGe,16.0,MPGe,16.0,22.0,Auto,SI,5.3L,8,5.3L V8,"","","","","","","","",Chevrolet,http://www.chevrolet.com,E85_GSLN,Ethanol (E85),SUV,Flexible Fuel
